Set1,Set2,Size1,Size2,FCD
chembl_molecules_100k_filtered,pubchem_molecules_100k,100000,99990,0.0037920435674474173
chembl_molecules_100k_filtered,250k_rndm_zinc_drugs_clean_3,100000,249455,0.003267950086986835
zinc_samples_unfiltered_100k,zinc_samples_filtered_100k,100000,100000,1.06899638391163e-07
zinc_samples_unfiltered_100k,chembl_molecules_100k,100000,100000,0.006983649306787215
zinc_samples_unfiltered_100k,pubchem_molecules_100k_filtered,100000,100000,0.0026067721165760165
zinc_samples_unfiltered_100k,pubchem_molecules_100k,100000,99990,0.00907239112055404
zinc_samples_unfiltered_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,0.001277718108852658
zinc_samples_filtered_100k,chembl_molecules_100k,100000,100000,0.007014925464981344
zinc_samples_filtered_100k,pubchem_molecules_100k_filtered,100000,100000,0.0026355553997515677
zinc_samples_filtered_100k,pubchem_molecules_100k,100000,99990,0.009124206322022682
zinc_samples_filtered_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,0.001287480445151204
chembl_molecules_100k,pubchem_molecules_100k_filtered,100000,100000,0.006529096399672618
chembl_molecules_100k,pubchem_molecules_100k,100000,99990,0.0019663966311190364
chembl_molecules_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,0.01060730647156806
pubchem_molecules_100k_filtered,pubchem_molecules_100k,100000,99990,0.004530164371888528
pubchem_molecules_100k_filtered,250k_rndm_zinc_drugs_clean_3,100000,249455,0.0013099080955406828
pubchem_molecules_100k,250k_rndm_zinc_drugs_clean_3,99990,249455,0.010007818908204088
