n_samples,n_atoms,egnn_memory_bytes,adj_mat_seer_memory_bytes
20,15,950398640,186537380
20,16,1065517360,186537380
20,17,1187902480,186537380
20,18,1317554000,186537380
20,19,1454471920,186537380
20,20,1598656240,186537380
20,21,1750106960,186537380
20,22,1908824080,186537380
20,23,2074807600,186537380
20,24,2248057520,186537380
20,25,2428573840,186537380
20,26,2616356560,186537380
20,27,2811405680,186537380
20,28,3013721200,186537380
20,29,3223303120,186537380
20,30,3440151440,186537380
20,31,3664266160,186537380
20,32,3895647280,186537380
20,33,4134294800,186537380
20,34,4380208720,186537380
20,35,4633389040,186537380
20,36,4893835760,186537380
20,37,5161548880,186537380
20,38,5436528400,186537380
20,39,5718774320,186537380
40,15,1805211520,285872420
40,16,2035448960,285872420
40,17,2280219200,285872420
40,18,2539522240,285872420
40,19,2813358080,285872420
40,20,3101726720,285872420
40,21,3404628160,285872420
40,22,3722062400,285872420
40,23,4054029440,285872420
40,24,4400529280,285872420
40,25,4761561920,285872420
40,26,5137127360,285872420
40,27,5527225600,285872420
40,28,5931856640,285872420
40,29,6351020480,285872420
40,30,6784717120,285872420
40,31,7232946560,285872420
40,32,7695708800,285872420
40,33,8173003840,285872420
40,34,8664831680,285872420
40,35,9171192320,285872420
40,36,9692085760,285872420
40,37,10227512000,285872420
40,38,10777471040,285872420
40,39,11341962880,285872420
60,15,2660024400,385207460
60,16,3005380560,385207460
60,17,3372535920,385207460
60,18,3761490480,385207460
60,19,4172244240,385207460
60,20,4604797200,385207460
60,21,5059149360,385207460
60,22,5535300720,385207460
60,23,6033251280,385207460
60,24,6553001040,385207460
60,25,7094550000,385207460
60,26,7657898160,385207460
60,27,8243045520,385207460
60,28,8849992080,385207460
60,29,9478737840,385207460
60,30,10129282800,385207460
60,31,10801626960,385207460
60,32,11495770320,385207460
60,33,12211712880,385207460
60,34,12949454640,385207460
60,35,13708995600,385207460
60,36,14490335760,385207460
60,37,15293475120,385207460
60,38,16118413680,385207460
60,39,16965151440,385207460
80,15,3514837280,484542500
80,16,3975312160,484542500
80,17,4464852640,484542500
80,18,4983458720,484542500
80,19,5531130400,484542500
80,20,6107867680,484542500
80,21,6713670560,484542500
80,22,7348539040,484542500
80,23,8012473120,484542500
80,24,8705472800,484542500
80,25,9427538080,484542500
80,26,10178668960,484542500
80,27,10958865440,484542500
80,28,11768127520,484542500
80,29,12606455200,484542500
80,30,13473848480,484542500
80,31,14370307360,484542500
80,32,15295831840,484542500
80,33,16250421920,484542500
80,34,17234077600,484542500
80,35,18246798880,484542500
80,36,19288585760,484542500
80,37,20359438240,484542500
80,38,21459356320,484542500
80,39,22588340000,484542500
100,15,4369650160,583877540
100,16,4945243760,583877540
100,17,5557169360,583877540
100,18,6205426960,583877540
100,19,6890016560,583877540
100,20,7610938160,583877540
100,21,8368191760,583877540
100,22,9161777360,583877540
100,23,9991694960,583877540
100,24,10857944560,583877540
100,25,11760526160,583877540
100,26,12699439760,583877540
100,27,13674685360,583877540
100,28,14686262960,583877540
100,29,15734172560,583877540
100,30,16818414160,583877540
100,31,17938987760,583877540
100,32,19095893360,583877540
100,33,20289130960,583877540
100,34,21518700560,583877540
100,35,22784602160,583877540
100,36,24086835760,583877540
100,37,25425401360,583877540
100,38,26800298960,583877540
100,39,28211528560,583877540
