Set1,Set2,Size1,Size2,FFD
zinc_samples_unfiltered_100k,zinc_samples_filtered_100k,100000,100000,0.0026462570349367128
zinc_samples_unfiltered_100k,chembl_molecules_100k,100000,100000,8.268868829883118
zinc_samples_unfiltered_100k,pubchem_molecules_100k_filtered,100000,100000,5.0927690307076
zinc_samples_unfiltered_100k,pubchem_molecules_100k,100000,100000,5.761026347740601
zinc_samples_unfiltered_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,3.608363123682104
zinc_samples_filtered_100k,chembl_molecules_100k,100000,100000,8.296186910961154
zinc_samples_filtered_100k,pubchem_molecules_100k_filtered,100000,100000,5.113298152859209
zinc_samples_filtered_100k,pubchem_molecules_100k,100000,100000,5.790520467052028
zinc_samples_filtered_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,3.625589823073712
chembl_molecules_100k,pubchem_molecules_100k_filtered,100000,100000,2.68243273259255
chembl_molecules_100k,pubchem_molecules_100k,100000,100000,2.479518639891646
chembl_molecules_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,4.958037903750791
pubchem_molecules_100k_filtered,pubchem_molecules_100k,100000,100000,0.484647151815865
pubchem_molecules_100k_filtered,250k_rndm_zinc_drugs_clean_3,100000,249455,2.3340396763876794
pubchem_molecules_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,3.247785021385435
